listed_species,prey_diet_binomial,prey_diet_binomial_updates,order_listed,class_listed,family_listed,order_prey,class_prey,family_prey
Rana draytonii,Cicindela willistoni,Cicindela willistoni,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Carabidae
Rana draytonii,Coelus ciliatus,Coelus ciliatus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Tenebrionidae
Rana draytonii,Coniontis subpubescens,Coniontis subpubescens,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Tenebrionidae
Rana draytonii,Cryptoglossa muricata,Cryptoglossa muricata,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Tenebrionidae
Rana draytonii,Cymatodera californica,Cymatodera californica,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Cleridae
Rana draytonii,Diabrotica undecimpunctata,Diabrotica undecimpunctata,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Chrysomelidae
Rana draytonii,Dicerca hornii,Dicerca hornii,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Buprestidae
Rana draytonii,Ellychnia californica,Photinus californica,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Lampyridae
Rana draytonii,Gasterosteus aculeatus,Gasterosteus aculeatus,Anura,Amphibia,Ranidae,Gasterosteiformes,Teleostei,Gasterosteidae
Rana draytonii,Harpalus somnulentus,Harpalus somnulentus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Carabidae
Rana draytonii,Hemerobius pacificus,Hemerobius pacificus,Anura,Amphibia,Ranidae,Neuroptera,Insecta,Hemerobiidae
Rana draytonii,Holcostethus abbreviatus,Holcostethus abbreviatus,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Pentatomidae
Rana draytonii,Holorusia hespera,Holorusia hespera,Anura,Amphibia,Ranidae,Diptera,Insecta,Tipulidae
Rana draytonii,Hyles lineata,Hyles lineata,Anura,Amphibia,Ranidae,Lepidoptera,Insecta,Sphingidae
Rana draytonii,Jadera haematoloma,Jadera haematoloma,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Rhopalidae
Rana draytonii,Leconectes striatellus,Leconectes striatellus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Dytiscidae
Rana draytonii,Melanotus longulus,Melanotus longulus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Elateridae
Rana draytonii,Ophryastes desertus,Ophryastes desertus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Curculionidae
Rana draytonii,Peromyscus californicus,Peromyscus californicus,Anura,Amphibia,Ranidae,Rodentia,Mammalia,Cricetidae
Rana draytonii,Pirata piraticus,Pirata piraticus,Anura,Amphibia,Ranidae,Araneae,Arachnida,Lycosidae
Rana draytonii,Pseudacris regilla,Pseudacris regilla,Anura,Amphibia,Ranidae,Anura,Amphibia,Hylidae
Rana draytonii,Reticulotermes hesperus,Reticulitermes hesperus,Anura,Amphibia,Ranidae,Blattodea,Insecta,Rhinotermitidae
Rana draytonii,Scaphinotus punctatus,Scaphinotus punctatus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Carabidae
Rana draytonii,Schizocosa mccooki,Schizocosa mccooki,Anura,Amphibia,Ranidae,Araneae,Arachnida,Lycosidae
Rana draytonii,Sialis californica,Sialis californica,Anura,Amphibia,Ranidae,Megaloptera,Insecta,Sialidae
Rana draytonii,Sitona californicus,Sitona californicus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Curculionidae
Rana draytonii,Tetralimonius ornatulus,Limonius ornatulus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Elateridae
Rana draytonii,toxomerus marginatus,Toxomerus marginatus,Anura,Amphibia,Ranidae,Diptera,Insecta,Syrphidae
Rana draytonii,Transorchestia chiliensis,Transorchestia chiliensis,Anura,Amphibia,Ranidae,Amphipoda,Malacostraca,Talitridae
Rana draytonii,Tropisternus lateralis,Tropisternus lateralis,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Hydrophilidae
Riparia riparia,Acanthoscelides aureolus,Acanthoscelides aureolus,Passeriformes,Aves,Hirundinidae,Coleoptera,Insecta,Chrysomelidae
Riparia riparia,Capnia californica,Capnia californica,Passeriformes,Aves,Hirundinidae,Plecoptera,Insecta,Capniidae
Riparia riparia,Gumaga griseola,Gumaga griseola,Passeriformes,Aves,Hirundinidae,Trichoptera,Insecta,Sericostomatidae
Riparia riparia,Oncopeltus fasciatus,Oncopeltus fasciatus,Passeriformes,Aves,Hirundinidae,Hemiptera,Insecta,Lygaeidae
Riparia riparia,toxomerus marginatus,Toxomerus marginatus,Passeriformes,Aves,Hirundinidae,Diptera,Insecta,Syrphidae
Riparia riparia,Vanessa cardui,Vanessa cardui,Passeriformes,Aves,Hirundinidae,Lepidoptera,Insecta,Nymphalidae
Sorex ornatus relictus,Callibaetis pictus,Callibaetis pictus,Soricomorpha,Mammalia,Soricidae,Ephemeroptera,Insecta,Baetidae
Sylvilagus bachmani riparius,Conium maculatum,Conium maculatum,Lagomorpha,Mammalia,Leporidae,Apiales,Magnoliopsida,Apiaceae
Sylvilagus bachmani riparius,Galium aparine,Galium aparine,Lagomorpha,Mammalia,Leporidae,Gentianales,Magnoliopsida,Rubiaceae
Sylvilagus bachmani riparius,Hordeum murinum,Hordeum murinum,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Poaceae
Sylvilagus bachmani riparius,Acer negundo,Acer negundo,Lagomorpha,Mammalia,Leporidae,Sapindales,Magnoliopsida,Sapindaceae
Sylvilagus bachmani riparius,Carex barbarae,Carex barbarae,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Cyperaceae
Sylvilagus bachmani riparius,Encelia farinosa,Encelia farinosa,Lagomorpha,Mammalia,Leporidae,Asterales,Magnoliopsida,Asteraceae
Sylvilagus bachmani riparius,Rosa californica,Rosa californica,Lagomorpha,Mammalia,Leporidae,Rosales,Magnoliopsida,Rosaceae
Sylvilagus bachmani riparius,Rubus ursinus,Rubus ursinus,Lagomorpha,Mammalia,Leporidae,Rosales,Magnoliopsida,Rosaceae
Sylvilagus bachmani riparius,Avena fatua,Avena fatua,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Poaceae
Sylvilagus bachmani riparius,Bromus hordeaceus,Bromus hordeaceus,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Poaceae
Sylvilagus bachmani riparius,Cirsium vulgare,Cirsium vulgare,Lagomorpha,Mammalia,Leporidae,Asterales,Magnoliopsida,Asteraceae
Sylvilagus bachmani riparius,Dysphania ambrosioides,Dysphania ambrosioides,Lagomorpha,Mammalia,Leporidae,Caryophyllales,Magnoliopsida,Amaranthaceae
Sylvilagus bachmani riparius,Hordeum murinum,Hordeum murinum,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Poaceae
Sylvilagus bachmani riparius,Sonchus asper,Sonchus asper,Lagomorpha,Mammalia,Leporidae,Asterales,Magnoliopsida,Asteraceae
Sylvilagus bachmani riparius,Baccharis douglasii,Baccharis douglasii,Lagomorpha,Mammalia,Leporidae,Asterales,Magnoliopsida,Asteraceae
Sylvilagus bachmani riparius,Eleocharis palustris,Eleocharis palustris,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Cyperaceae
Sylvilagus bachmani riparius,Eragrostis hypnoides,Eragrostis hypnoides,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Poaceae
Sylvilagus bachmani riparius,Juncus balticus,Juncus balticus,Lagomorpha,Mammalia,Leporidae,Poales,Liliopsida,Juncaceae
Sylvilagus bachmani riparius,Rosa californica,Rosa californica,Lagomorpha,Mammalia,Leporidae,Rosales,Magnoliopsida,Rosaceae
Sylvilagus bachmani riparius,Rubus ursinus,Rubus ursinus,Lagomorpha,Mammalia,Leporidae,Rosales,Magnoliopsida,Rosaceae
Sylvilagus bachmani riparius,Trifolium wormskioldii,Trifolium wormskioldii,Lagomorpha,Mammalia,Leporidae,Fabales,Magnoliopsida,Fabaceae
Thamnophis gigas,Bombus vosnesenskii,Bombus vosnesenskii,Squamata,Squamata,Colubridae,Hymenoptera,Insecta,Apidae
Thamnophis gigas,Ictalurus punctatus,Ictalurus punctatus,Squamata,Squamata,Colubridae,Siluriformes,Teleostei,Ictaluridae
Thamnophis gigas,Pseudacris hypochondriaca,Pseudacris hypochondriaca,Squamata,Squamata,Colubridae,Anura,Amphibia,Hylidae
Thamnophis gigas,Gambusia affinis,Gambusia affinis,Squamata,Squamata,Colubridae,Cyprinodontiformes,Teleostei,Poeciliidae
Thamnophis gigas,Ictalurus punctatus,Ictalurus punctatus,Squamata,Squamata,Colubridae,Siluriformes,Teleostei,Ictaluridae
Thamnophis gigas,Lampropeltis californiae,Lampropeltis californiae,Squamata,Squamata,Colubridae,Squamata,Squamata,Colubridae
Thamnophis gigas,Lepomis macrochirus,Lepomis macrochirus,Squamata,Squamata,Colubridae,Perciformes,Teleostei,Centrarchidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Procambarus clarkii,Procambarus clarkii,Squamata,Squamata,Colubridae,Decapoda,Malacostraca,Cambaridae
Thamnophis gigas,Pseudacris regilla,Pseudacris regilla,Squamata,Squamata,Colubridae,Anura,Amphibia,Hylidae
Thamnophis gigas,Atherinopsis californiensis,Atherinopsis californiensis,Squamata,Squamata,Colubridae,Atheriniformes,Teleostei,Atherinopsidae
Thamnophis gigas,Gambusia affinis,Gambusia affinis,Squamata,Squamata,Colubridae,Cyprinodontiformes,Teleostei,Poeciliidae
Thamnophis gigas,Hesperoleucus symmetricus,Hesperoleucus symmetricus,Squamata,Squamata,Colubridae,Cypriniformes,Teleostei,Cyprinidae
Thamnophis gigas,Lepomis cyanellus,Lepomis cyanellus,Squamata,Squamata,Colubridae,Perciformes,Teleostei,Centrarchidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Pseudacris sierra,Pseudacris sierra,Squamata,Squamata,Colubridae,Anura,Amphibia,Hylidae
Thamnophis gigas,Ameiurus nebulosus,Ameiurus nebulosus,Squamata,Squamata,Colubridae,Siluriformes,Teleostei,Ictaluridae
Thamnophis gigas,Atherinopsis californiensis,Atherinopsis californiensis,Squamata,Squamata,Colubridae,Atheriniformes,Teleostei,Atherinopsidae
Thamnophis gigas,Gambusia affinis,Gambusia affinis,Squamata,Squamata,Colubridae,Cyprinodontiformes,Teleostei,Poeciliidae
Thamnophis gigas,Gila orcuttii,Gila orcuttii,Squamata,Squamata,Colubridae,Cypriniformes,Teleostei,Cyprinidae
Thamnophis gigas,Lepomis cyanellus,Lepomis cyanellus,Squamata,Squamata,Colubridae,Perciformes,Teleostei,Centrarchidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Pseudacris regilla,Pseudacris regilla,Squamata,Squamata,Colubridae,Anura,Amphibia,Hylidae
Thamnophis gigas,Pseudacris sierra,Pseudacris sierra,Squamata,Squamata,Colubridae,Anura,Amphibia,Hylidae
Thamnophis gigas,Gambusia affinis,Gambusia affinis,Squamata,Squamata,Colubridae,Cyprinodontiformes,Teleostei,Poeciliidae
Thamnophis gigas,Lepomis cyanellus,Lepomis cyanellus,Squamata,Squamata,Colubridae,Perciformes,Teleostei,Centrarchidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Lithobates catesbeianus,Lithobates catesbeianus,Squamata,Squamata,Colubridae,Anura,Amphibia,Ranidae
Thamnophis gigas,Pacifastacus leniusculus,Pacifastacus leniusculus,Squamata,Squamata,Colubridae,Decapoda,Malacostraca,Astacidae
Thamnophis gigas,Pseudacris sierra,Pseudacris sierra,Squamata,Squamata,Colubridae,Anura,Amphibia,Hylidae
Vireo bellii pusillus,Vanessa cardui,Vanessa cardui,Passeriformes,Aves,Vireonidae,Lepidoptera,Insecta,Nymphalidae
Vireo bellii pusillus,Bactericera cockerelli,Bactericera cockerelli,Passeriformes,Aves,Vireonidae,Hemiptera,Insecta,Triozidae
Vireo bellii pusillus,Chimarocephala pacifica,Chimarocephala pacifica,Passeriformes,Aves,Vireonidae,Orthoptera,Insecta,Acrididae
Vireo bellii pusillus,Cryptoglossa muricata,Cryptoglossa muricata,Passeriformes,Aves,Vireonidae,Coleoptera,Insecta,Tenebrionidae
Vireo bellii pusillus,Hyles lineata,Hyles lineata,Passeriformes,Aves,Vireonidae,Lepidoptera,Insecta,Sphingidae
Vireo bellii pusillus,Vanessa cardui,Vanessa cardui,Passeriformes,Aves,Vireonidae,Lepidoptera,Insecta,Nymphalidae
Vulpes macrotis mutica,Bombus vosnesenskii,Bombus vosnesenskii,Carnivora,Mammalia,Canidae,Hymenoptera,Insecta,Apidae
Vulpes macrotis mutica,Chaetodipus californicus,Chaetodipus californicus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Dipodomys merriami,Dipodomys merriami,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Neotoma lepida,Neotoma lepida,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Otospermophilus beecheyi,Otospermophilus beecheyi,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Sciuridae
Vulpes macrotis mutica,Peromyscus maniculatus,Peromyscus maniculatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Sylvilagus audubonii,Sylvilagus audubonii,Carnivora,Mammalia,Canidae,Lagomorpha,Mammalia,Leporidae
Vulpes macrotis mutica,Thomomys bottae,Thomomys bottae,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Geomyidae
Vulpes macrotis mutica,Uta stansburiana,Uta stansburiana,Carnivora,Mammalia,Canidae,Squamata,Squamata,Phrynosomatidae
Vulpes macrotis mutica,Zenaida macroura,Zenaida macroura,Carnivora,Mammalia,Canidae,Columbiformes,Aves,Columbidae
Vulpes macrotis mutica,Acanthoscelides aureolus,Acanthoscelides aureolus,Carnivora,Mammalia,Canidae,Coleoptera,Insecta,Chrysomelidae
Vulpes macrotis mutica,Dipodomys merriami,Dipodomys merriami,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Otospermophilus beecheyi,Otospermophilus beecheyi,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Sciuridae
Vulpes macrotis mutica,Perognathus inornatus,Perognathus inornatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Schistocerca nitens,Schistocerca nitens,Carnivora,Mammalia,Canidae,Orthoptera,Insecta,Acrididae
Vulpes macrotis mutica,Sylvilagus audubonii,Sylvilagus audubonii,Carnivora,Mammalia,Canidae,Lagomorpha,Mammalia,Leporidae
Vulpes macrotis mutica,Thomomys bottae,Thomomys bottae,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Geomyidae
Vulpes macrotis mutica,Uta stansburiana,Uta stansburiana,Carnivora,Mammalia,Canidae,Squamata,Squamata,Phrynosomatidae
Vulpes macrotis mutica,Zenaida macroura,Zenaida macroura,Carnivora,Mammalia,Canidae,Columbiformes,Aves,Columbidae
Vulpes macrotis mutica,Mus musculus,Mus musculus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Muridae
Vulpes macrotis mutica,Bombus vosnesenskii,Bombus vosnesenskii,Carnivora,Mammalia,Canidae,Hymenoptera,Insecta,Apidae
Vulpes macrotis mutica,Microtus californicus,Microtus californicus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Perognathus inornatus,Perognathus inornatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Peromyscus maniculatus,Peromyscus maniculatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Peromyscus maniculatus,Peromyscus maniculatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Reithrodontomys megalotis,Reithrodontomys megalotis,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Sylvilagus audubonii,Sylvilagus audubonii,Carnivora,Mammalia,Canidae,Lagomorpha,Mammalia,Leporidae
Vulpes macrotis mutica,Thomomys bottae,Thomomys bottae,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Geomyidae
Vulpes macrotis mutica,Zenaida macroura,Zenaida macroura,Carnivora,Mammalia,Canidae,Columbiformes,Aves,Columbidae
Vulpes macrotis mutica,Chaetodipus californicus,Chaetodipus californicus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Dipodomys heermanni,Dipodomys heermanni,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Dipodomys ingens,Dipodomys ingens,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Dipodomys nitratoides,Dipodomys nitratoides,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Lepus californicus,Lepus californicus,Carnivora,Mammalia,Canidae,Lagomorpha,Mammalia,Leporidae
Vulpes macrotis mutica,Otospermophilus beecheyi,Otospermophilus beecheyi,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Sciuridae
Vulpes macrotis mutica,Perognathus inornatus,Perognathus inornatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Heteromyidae
Vulpes macrotis mutica,Peromyscus maniculatus,Peromyscus maniculatus,Carnivora,Mammalia,Canidae,Rodentia,Mammalia,Cricetidae
Vulpes macrotis mutica,Sylvilagus audubonii,Sylvilagus audubonii,Carnivora,Mammalia,Canidae,Lagomorpha,Mammalia,Leporidae
Ambystoma californiense,Pseudacris regilla,Pseudacris regilla,Caudata,Amphibia,Ambystomatidae,Anura,Amphibia,Hylidae
Ambystoma californiense,Taricha torosa,Taricha torosa,Caudata,Amphibia,Ambystomatidae,Caudata,Amphibia,Salamandridae
Ambystoma californiense,Cornu aspersum,Cornu aspersum,Caudata,Amphibia,Ambystomatidae,Stylommatophora,Gastropoda,Helicidae
Ambystoma californiense,Corisella decolor,Corisella decolor,Caudata,Amphibia,Ambystomatidae,Hemiptera,Insecta,Corixidae
Ambystoma californiense,Cyzicus californicus,Cyzicus californicus,Caudata,Amphibia,Ambystomatidae,Diplostraca,Branchiopoda,Cyzicidae
Ambystoma californiense,Pseudacris regilla,Pseudacris regilla,Caudata,Amphibia,Ambystomatidae,Anura,Amphibia,Hylidae
Ambystoma californiense,Lepidurus packardi,Lepidurus packardi,Caudata,Amphibia,Ambystomatidae,Notostraca,Branchiopoda,Triopsidae
Ambystoma californiense,Cornu aspersum,Cornu aspersum,Caudata,Amphibia,Ambystomatidae,Stylommatophora,Gastropoda,Helicidae
Ambystoma californiense,Cyzicus californicus,Cyzicus californicus,Caudata,Amphibia,Ambystomatidae,Diplostraca,Branchiopoda,Cyzicidae
Ambystoma californiense,Daphnia pulex,Daphnia pulex,Caudata,Amphibia,Ambystomatidae,Diplostraca,Branchiopoda,Daphniidae
Ambystoma californiense,Pseudacris regilla,Pseudacris regilla,Caudata,Amphibia,Ambystomatidae,Anura,Amphibia,Hylidae
Ammospermophilus nelsoni,Dipodomys merriami,Dipodomys merriami,Rodentia,Mammalia,Sciuridae,Rodentia,Mammalia,Heteromyidae
Ammospermophilus nelsoni,Bromus rubens,Bromus rubens,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Bromus rubens,Bromus rubens,Rodentia,Mammalia,Sciuridae,Poales,Liliopsida,Poaceae
Ammospermophilus nelsoni,Erodium cicutarium,Erodium cicutarium,Rodentia,Mammalia,Sciuridae,Geraniales,Magnoliopsida,Geraniaceae
Ammospermophilus nelsoni,Erodium cicutarium,Erodium cicutarium,Rodentia,Mammalia,Sciuridae,Geraniales,Magnoliopsida,Geraniaceae
Ammospermophilus nelsoni,Trifolium hirtum,Trifolium hirtum,Rodentia,Mammalia,Sciuridae,Fabales,Magnoliopsida,Fabaceae
Ammospermophilus nelsoni,Acanthoscelides aureolus,Acanthoscelides aureolus,Rodentia,Mammalia,Sciuridae,Coleoptera,Insecta,Chrysomelidae
Ammospermophilus nelsoni,Ammopelmatus longispina,Ammopelmatus longispina,Rodentia,Mammalia,Sciuridae,Orthoptera,Insecta,Stenopelmatidae
Ammospermophilus nelsoni,Astragalus oxyphysus,Astragalus oxyphysus,Rodentia,Mammalia,Sciuridae,Fabales,Magnoliopsida,Fabaceae
Ammospermophilus nelsoni,Ceuthophilus californianus,Ceuthophilus californianus,Rodentia,Mammalia,Sciuridae,Orthoptera,Insecta,Rhaphidophoridae
Ammospermophilus nelsoni,Croton setiger,Croton setiger,Rodentia,Mammalia,Sciuridae,Malpighiales,Magnoliopsida,Euphorbiaceae
Ammospermophilus nelsoni,Ephedra californica,Ephedra californica,Rodentia,Mammalia,Sciuridae,Ephedrales,Gnetopsida,Ephedraceae
Ammospermophilus nelsoni,Ephedra californica,Ephedra californica,Rodentia,Mammalia,Sciuridae,Ephedrales,Gnetopsida,Ephedraceae
Ammospermophilus nelsoni,Oedaleonotus enigma,Oedaleonotus enigma,Rodentia,Mammalia,Sciuridae,Orthoptera,Insecta,Acrididae
Ammospermophilus nelsoni,Phyllophaga errans,Phyllophaga errans,Rodentia,Mammalia,Sciuridae,Coleoptera,Insecta,Scarabaeidae
Ammospermophilus nelsoni,Pogonomyrmex californicus,Pogonomyrmex californicus,Rodentia,Mammalia,Sciuridae,Hymenoptera,Insecta,Formicidae
